Task Title,Project Name,Start Time,End Time,Duration
DB + Keep track of Score,Hala English,2023-12-17T08:42:39.000+0000,2023-12-17T09:17:17.000+0000,0:34:38
DB + Keep track of Score,Hala English,2023-12-17T02:32:16.000+0000,2023-12-17T02:58:25.000+0000,0:26:09
DB + Keep track of Score,Hala English,2023-12-17T00:50:52.000+0000,2023-12-17T01:15:52.000+0000,0:25:00
DB + Keep track of Score,Hala English,2023-12-16T23:56:56.000+0000,2023-12-17T00:21:56.000+0000,0:25:00
Morning routine,Mindset,2023-12-16T02:02:37.000+0000,2023-12-16T02:12:49.000+0000,0:10:12
Morning routine,Mindset,2023-12-16T08:23:19.000+0000,2023-12-16T08:38:07.000+0000,0:14:48
Morning routine,Mindset,2023-12-16T01:36:55.000+0000,2023-12-16T02:01:55.000+0000,0:25:00
real exercise,Health,2023-12-15T13:22:21.000+0000,2023-12-15T14:04:45.000+0000,0:42:24
DB + Keep track of Score,Hala English,2023-12-15T11:34:25.000+0000,2023-12-15T11:51:09.000+0000,0:16:44
DB + Keep track of Score,Hala English,2023-12-15T10:31:23.000+0000,2023-12-15T10:56:23.000+0000,0:25:00
DB + Keep track of Score,Hala English,2023-12-15T09:11:59.000+0000,2023-12-15T09:36:59.000+0000,0:25:00
lam bai cua OL,Inbox,2023-12-15T08:50:00.000+0000,2023-12-15T09:00:00.000+0000,0:10:00
lam bai cua OL,Inbox,2023-12-15T08:25:00.000+0000,2023-12-15T08:50:00.000+0000,0:25:00
lam bai cua OL,Inbox,2023-12-15T08:00:00.000+0000,2023-12-15T08:25:00.000+0000,0:25:00
DB + Keep track of Score,Hala English,2023-12-15T05:30:57.000+0000,2023-12-15T05:42:22.000+0000,0:11:25
DB + Keep track of Score,Hala English,2023-12-15T06:01:32.000+0000,2023-12-15T06:15:07.000+0000,0:13:35
DB + Keep track of Score,Hala English,2023-12-15T04:43:40.000+0000,2023-12-15T05:08:40.000+0000,0:25:00
DB + Keep track of Score,Hala English,2023-12-15T03:41:54.000+0000,2023-12-15T04:06:54.000+0000,0:25:00
DB + Keep track of Score,Hala English,2023-12-15T03:12:50.000+0000,2023-12-15T03:13:46.000+0000,0:00:56
DB + Keep track of Score,Hala English,2023-12-15T03:16:27.000+0000,2023-12-15T03:40:31.000+0000,0:24:04
review code Hieu,Hala English,2023-12-15T02:41:42.000+0000,2023-12-15T02:53:58.000+0000,0:12:16
review code Hieu,Hala English,2023-12-15T01:09:03.000+0000,2023-12-15T01:11:39.000+0000,0:02:36
review code Hieu,Hala English,2023-12-15T02:19:13.000+0000,2023-12-15T02:41:37.000+0000,0:22:24
Morning routine,Mindset,2023-12-15T00:43:46.000+0000,2023-12-15T01:08:46.000+0000,0:25:00
learning,Software Engineer Skill,2023-12-14T16:03:18.000+0000,2023-12-14T16:11:57.000+0000,0:08:39
read about Svelte,Hala English,2023-12-14T14:53:04.000+0000,2023-12-14T15:18:04.000+0000,0:25:00
read about Svelte,Hala English,2023-12-14T14:22:51.000+0000,2023-12-14T14:47:51.000+0000,0:25:00
read about Svelte,Hala English,2023-12-14T13:52:47.000+0000,2023-12-14T14:17:47.000+0000,0:25:00
User Profile Design: login,Hala English,2023-12-14T12:22:57.000+0000,2023-12-14T12:47:57.000+0000,0:25:00
User Profile Design: login,Hala English,2023-12-14T11:06:40.000+0000,2023-12-14T11:23:18.000+0000,0:16:38
User Profile Design: login,Hala English,2023-12-14T10:41:34.000+0000,2023-12-14T11:06:34.000+0000,0:25:00
User Profile Design: login,Hala English,2023-12-14T09:26:20.000+0000,2023-12-14T09:51:20.000+0000,0:25:00
User Profile Design: login,Hala English,2023-12-14T08:52:16.000+0000,2023-12-14T09:17:16.000+0000,0:25:00
User Profile Design: login,Hala English,2023-12-14T08:27:06.000+0000,2023-12-14T08:52:06.000+0000,0:25:00
meditation,Mindset,2023-12-14T08:11:43.000+0000,2023-12-14T08:25:50.000+0000,0:14:07
